"kwhTotal","dollars","chargeTimeHrs","distance","managerVehicle","facilityType","target"
"4.27","0.5","4.144166667","32.8745456","0","3","1.0"
"6.31","0.0","3.543055556","32.8745456","0","3","1.0"
"6.58","0.0","3.320833333","32.8745456","0","3","1.0"
"2.27","0.0","0.527777778","32.8745456","0","3","1.0"
"6.35","0.0","2.434444444","32.8745456","0","3","1.0"
"4.21","0.0","2.0","32.8745456","0","3","1.0"
"1.97","0.0","0.652222222","32.8745456","0","3","0.0"
"3.43","0.0","1.426666667","32.8745456","0","3","0.0"
"6.27","0.0","2.291666667","32.8745456","0","3","0.0"
"6.89","0.0","3.619722222","32.8745456","1","4","0.0"
"6.28","0.0","2.4475","32.8745456","1","2","1.0"
"2.76","1.25","4.057222222","32.8745456","1","2","1.0"
"4.1","0.83","55.23805556","32.8745456","1","4","0.0"
"7.21","1.58","5.545","32.8745456","1","2","1.0"
"7.02","0.0","2.406111111","32.8745456","1","2","1.0"
"8.38","0.0","3.414166667","32.8745456","1","4","0.0"
"6.38","0.5","4.266388889","32.8745456","1","2","1.0"
"7.52","0.0","2.507222222","32.8745456","1","4","0.0"
"6.22","0.0","2.394166667","32.8745456","1","4","0.0"
"7.9","0.0","3.575555556","32.8745456","1","2","1.0"
"11.61","0.0","3.900833333","32.8745456","1","2","1.0"
"7.97","0.0","2.901388889","32.8745456","1","2","1.0"
"6.11","0.0","3.258055556","32.8745456","1","2","1.0"
"3.11","1.33","5.142222222","32.8745456","1","2","1.0"
"6.92","0.0","3.090555556","32.8745456","1","2","1.0"
"9.31","1.25","5.278333333","32.8745456","1","2","1.0"
"7.89","1.33","5.3325","32.8745456","1","2","1.0"
"6.66","0.0","3.495833333","32.8745456","1","2","1.0"
"0.89","0.0","0.305","32.8745456","1","2","1.0"
"6.3","1.67","5.699166667","32.8745456","1","2","1.0"
"2.52","0.0","0.810277778","32.8745456","1","2","1.0"
"0.02","0.0","0.040555556","32.8745456","1","2","1.0"
"5.54","0.0","2.731388889","32.8745456","1","4","0.0"
"4.34","0.0","1.373333333","32.8745456","1","2","1.0"
"2.91","0.0","0.936388889","32.8745456","1","2","1.0"
"6.21","0.0","3.309722222","32.8745456","1","2","1.0"
"5.16","0.0","2.709444444","32.8745456","1","4","0.0"
"0.1","0.0","0.056666667","32.8745456","1","2","1.0"
"4.64","0.0","1.434722222","32.8745456","1","2","1.0"
"5.47","0.0","2.24","32.8745456","1","2","1.0"
"5.48","0.92","4.051388889","32.8745456","1","2","1.0"
"5.42","0.0","2.312777778","32.8745456","1","2","1.0"
"6.58","0.75","4.7025","32.8745456","1","4","0.0"
"5.62","0.0","2.935555556","32.8745456","1","4","0.0"
