"sessionId","kwhTotal","dollars","startTime","endTime","chargeTimeHrs","distance","userId","stationId","locationId","managerVehicle","facilityType","Mon","Tues","Wed","Thurs","Fri","Sat","Sun","reportedZip","target"
"4023183","9.75","0.0","17","20","3.046388889","32.8745456","35897499","738900","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"1667896","8.1","0.0","15","17","1.538333333","32.8745456","35897499","738900","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"4907994","14.53","0.0","11","15","3.69","32.8745456","35897499","801274","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"8544912","1.66","0.0","16","17","0.313611111","32.8745456","35897499","728918","928191","0","3","0","0","0","1","0","0","0","0","1.0"
"4339735","6.78","0.0","12","15","3.231388889","32.8745456","35897499","738900","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"7670282","1.37","0.0","17","19","1.932777778","32.8745456","35897499","728918","928191","0","3","0","0","0","0","1","0","0","0","1.0"
"2534249","6.79","0.0","17","20","2.981388889","32.8745456","35897499","280221","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"2892603","0.0","0.0","16","17","0.208888889","32.8745456","35897499","405157","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"2451809","4.96","0.0","17","20","3.185277778","32.8745456","35897499","250527","976902","0","3","0","0","1","0","0","0","0","0","1.0"
"1986587","3.87","0.0","14","17","2.426111111","32.8745456","35897499","250527","976902","0","3","0","0","0","1","0","0","0","0","1.0"
"5345683","6.67","0.0","12","16","3.805","32.8745456","35897499","801274","976902","0","3","0","0","0","0","1","0","0","0","1.0"
"2211634","6.63","0.0","17","20","3.613333333","32.8745456","35897499","944515","976902","0","3","1","0","0","0","0","0","0","0","1.0"
"1119614","3.72","0.5","11","15","4.049444444","32.8745456","35897499","280221","976902","0","3","0","1","0","0","0","0","0","0","1.0"
"8689860","4.37","0.0","17","21","3.788888889","32.8745456","35897499","944515","976902","0","3","0","0","1","0","0","0","0","0","1.0"
